R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
118  28,Mikal Bridges,"SG,SF,PF",NY,51,38.3,18.2,3.1,3.3,1,0.5,1.6,0.6
119  11,Grant Williams,"PF,C",CHA,16,29.9,10.4,5.1,2.3,1.1,0.8,1.8,0.6
120  132,Jonathan Kuminga,"SF,PF",GS,32,26,16.8,5,2.2,0.9,0.6,1.6,0.58
121  4,Santi Aldama,"PF,C",MEM,43,24.6,12.7,6.7,2.5,0.8,0.5,1.1,0.5
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
122  43,Christian Braun,"SG,SF",DEN,50,32.6,14.6,4.9,2,1.1,0.5,1,0.5
123  24,Lonzo Ball,PG,CHI,30,21.6,7.2,3.4,3.5,1.5,0.5,1.2,0.44
124  78,Cameron Johnson,"SF,PF",BKN,36,32.1,19.3,4,2.9,0.8,0.5,1.7,0.44
125  31,Naz Reid,"PF,C",MIN,50,25.8,14,5.1,1.9,0.8,0.8,1.2,0.42
126  11,Jaden Ivey,"PG,SG",DET,30,29.9,17.6,4.1,4,0.9,0.4,3,0.42
127  5,D'Angelo Russell,PG,BKN,42,25.7,12.9,2.8,5.2,1,0.4,1.9,0.39
128  14,Keyonte George,"PG,SG",UTA,39,31.3,16.4,3.6,5.8,0.8,0.2,2.8,0.36
129  37,Jalen Green,"PG,SG",HOU,50,33.1,21.3,4.3,2.9,0.9,0.3,2.6,0.33
130  18,Ayo Dosunmu,"PG,SG,SF",CHI,41,30.7,12.4,3.6,4.7,0.9,0.4,1.3,0.32
131  15,Scoot Henderson,PG,POR,44,26.6,12.7,3.1,5.3,1.1,0.3,2.6,0.31
132  44,Lauri Markkanen,"SF,PF",UTA,37,31.9,19.3,6.2,1.7,0.7,0.4,1.4,0.3
133  43,Scotty Pippen Jr.,"PG,SG",MEM,51,21.2,9.6,3.4,4.6,1.2,0.4,1.8,0.3
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
134  53,Coby White,"PG,SG",CHI,45,32.6,18.5,3.3,4.6,0.9,0.2,2.4,0.25
135  74,Ausar Thompson,"SF,PF",DET,29,20.4,8.4,4.9,1.7,1.6,0.4,1.3,0.22
136  3,Jerami Grant,"SF,PF",POR,39,32.2,14.8,3.3,2.2,0.7,1,1.3,0.21
137  19,Andrew Nembhard,"PG,SG",IND,33,28.4,11.1,3.5,5.2,1.2,0.1,1.8,0.16
138  64,Wendell Carter Jr.,"PF,C",ORL,39,25.6,8.6,7.3,2.4,0.8,0.5,0.9,0.14
139  6,Kawhi Leonard,"SG,SF,PF",LAC,12,24.3,15.9,4.6,2.4,0.9,0.5,1.7,0.13
140  22,Jrue Holiday,"PG,SG",BOS,44,30.2,11,4.4,3.7,1,0.4,1.3,0.12
141  7,Dennis Schröder,"PG,SG",UTA,47,29.8,14.4,2.6,5.5,1.1,0.1,2.3,0.08
142  61,Nick Richards,C,PHO,31,22,8.9,8.3,1.1,0.3,1.1,1.7,-0.02
143  12,Luguentz Dort,"SG,SF",OKC,47,29,9.8,4.3,1.7,1.1,0.7,0.7,-0.04
144  43,Cody Martin,"SG,SF",CHA,39,24.8,7.8,4.5,2.3,1.1,0.7,1.1,-0.05
145  28,Peyton Watson,"SF,PF",DEN,48,24.2,8.1,3.4,1.5,0.9,1.2,0.9,-0.06
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
146  48,Alex Caruso,"SG,SF",OKC,29,19,5.4,2.7,2.4,1.7,0.5,0.7,-0.09
147  36,Jonas Valanciunas,C,SAC,49,20.1,11.5,8.2,2.2,0.4,0.6,1.8,-0.09
148  85,Cam Thomas,"SG,SF",BKN,19,32.3,24.7,3.6,3.4,0.7,0.1,2.7,-0.13
149  21,Jabari Smith Jr.,"PF,C",HOU,33,30.9,11.9,6.5,1,0.4,1,0.9,-0.13
150  47,Anfernee Simons,"PG,SG",POR,47,32.2,18.2,2.8,5,0.8,0.1,2.1,-0.15
151  12,T.J. McConnell,PG,IND,48,18.7,9.9,2.6,4.5,1.2,0.3,1.5,-0.18
152  17,Jordan Clarkson,"SG,SF",UTA,27,25.9,16.6,3.2,3.8,0.9,0.3,2.2,-0.2
153  35,Donovan Clingan,C,POR,37,16,5.1,6.4,0.7,0.4,1.5,1.2,-0.22
154  84,Caleb Martin,"SG,SF",DAL,31,30.4,9.1,4.4,2.3,1.1,0.6,1.4,-0.22
155  12,Isaiah Stewart,"PF,C",DET,46,20.2,5.6,5.8,1.7,0.4,1.3,0.9,-0.24
156  40,Precious Achiuwa,"PF,C",NY,30,20.5,6.5,5.8,1,1,0.8,0.8,-0.31
157  2,Jose Alvarado,PG,NO,27,22.2,9.6,2,4.1,1.3,0.3,1.1,-0.33
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
158  19,Royce O'Neale,"SF,PF",PHO,44,25.2,9.4,5.1,2.1,1,0.5,1,-0.35
159  39,Rui Hachimura,"SF,PF",LAL,41,31.9,12.8,5.1,1.5,0.9,0.5,0.9,-0.37
160  11,Donte DiVincenzo,"PG,SG,SF",MIN,40,26.4,11,3.7,3.6,1.2,0.2,1.8,-0.38
161  60,Jarred Vanderbilt,PF,LAL,5,14.7,3.2,5.4,1.2,2,0,0.4,-0.41
162  75,Jonathan Isaac,"SF,PF",ORL,46,16.6,6,4.8,0.5,0.8,1.2,0.4,-0.42
163  31,Keon Ellis,"SG,SF",SAC,48,21.8,7.7,2.4,1.3,1.4,0.8,0.8,-0.43
164  2,Al Horford,"PF,C",BOS,39,26.3,8,5.3,1.9,0.6,0.9,0.7,-0.43
165  3,Mike Conley,PG,MIN,46,25,8.1,2.7,4.6,1.2,0.2,1.1,-0.47
166  51,Immanuel Quickley,"PG,SG",TOR,12,25.8,15,2.1,5.7,0.6,0.2,1.4,-0.53
167  38,Tyus Jones,PG,PHO,49,29.3,10.9,2.3,5.8,0.9,0.1,1.3,-0.54
168  70,Payton Pritchard,"PG,SG",BOS,50,27.6,13.7,3.6,3.4,0.9,0.2,1,-0.56
169  17,Caris LeVert,"SG,SF",CLE,38,23.8,10.2,2.8,3.7,0.9,0.5,1.3,-0.61
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
170  43,Kris Dunn,"PG,SG",LAC,43,22.5,5.9,3.3,2.7,1.5,0.3,1.1,-0.65
